timestamp,mac,rssi
2025-04-21T22:22:01Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:22:04Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:05Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:06Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:22:07Z,88:c6:26:3f:3b:75,-90
2025-04-21T22:22:08Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:09Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:22:10Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:22:11Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:13Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:22:14Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:22:15Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:16Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:17Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:22:18Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:22:19Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:20Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:21Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:22Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:23Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:22:24Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:27Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:28Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:22:30Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:22:31Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:32Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:22:34Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:35Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:22:36Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:22:39Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:40Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:22:41Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:22:42Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:43Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:22:44Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:46Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:47Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:22:48Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:22:52Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:22:53Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:54Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:22:55Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:22:56Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:22:57Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:22:58Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:22:59Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:00Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:01Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:03Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:05Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:23:06Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:07Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:08Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:23:09Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:10Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:23:11Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:12Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:23:15Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:17Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:23:19Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:20Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:23:21Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:23:22Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:23Z,88:c6:26:3f:3b:75,-85
